URL,Latencia,BL,Type,Answer,Location
http://culinaria-passoapasso.artesanatodosucesso.com/centro/MWXRnPqWKjpu,0.00026,5,0,FALSE,Local
http://culinaria-passoapasso.artesanatodosucesso.com/centro/MWXRnPqWKjpu,0.00019,10,0,TRUE,Local
http://207.188.159.0:18412/.i,0.0002,0,0,FALSE,Local
http://207.188.159.0:18412/.i,0.0004,5,0,FALSE,Local
http://207.188.159.0:18412/.i,0.0003,10,0,TRUE,Local
http://112.239.123.96:38583/i,0.00025,0,0,FALSE,Local
http://112.239.123.96:38583/i,0.00017,5,0,FALSE,Local
http://112.239.123.96:38583/i,0.0001,10,0,TRUE,Local
http://pmjo.fra1.cdn.digitaloceanspaces.com/Kriwgshughb.exe,0.00019,0,0,FALSE,Local
http://pmjo.fra1.cdn.digitaloceanspaces.com/Kriwgshughb.exe,0.00018,5,0,FALSE,Local
http://pmjo.fra1.cdn.digitaloceanspaces.com/Kriwgshughb.exe,0.00007,10,0,TRUE,Local
http://www.angelfire.com/fl/atjournal/,0.00069,0,1,TRUE,Local
http://www.angelfire.com/fl/atjournal/,0.00067,5,1,TRUE,Local
http://www.angelfire.com/fl/atjournal/,0.00048,10,1,TRUE,Local
https://wtools.io/paste-code/bQ1X,0.00056,0,0,FALSE,Local
https://wtools.io/paste-code/bQ1X,0.0002,5,0,FALSE,Local
https://wtools.io/paste-code/bQ1X,0.00009,10,0,TRUE,Local
http://42.238.168.16:51360/i,0.00007,0,0,FALSE,Local
http://42.238.168.16:51360/i,0.00017,5,0,FALSE,Local
http://42.238.168.16:51360/i,0.00004,10,0,TRUE,Local
http://www.ed.gov/pubs/edreformstudies/edreforms/chap10b.html,0.00024,0,1,TRUE,Local
http://www.ed.gov/pubs/edreformstudies/edreforms/chap10b.html,0.00023,5,1,TRUE,Local
http://www.ed.gov/pubs/edreformstudies/edreforms/chap10b.html,0.00014,10,1,TRUE,Local
http://80.76.51.162/bins/Rubify.spc,0.00017,0,0,FALSE,Local
http://80.76.51.162/bins/Rubify.spc,0.00013,5,0,FALSE,Local
http://80.76.51.162/bins/Rubify.spc,0.00003,10,0,TRUE,Local
http://175.107.1.166:53315/Mozi.m,0.00011,0,0,FALSE,Local
http://175.107.1.166:53315/Mozi.m,0.00008,5,0,FALSE,Local
http://175.107.1.166:53315/Mozi.m,0.00003,10,0,TRUE,Local
http://www.law.gmu.edu/ip/,0.00027,0,1,TRUE,Local
http://www.law.gmu.edu/ip/,0.00017,5,1,TRUE,Local
